Accession,Name,Label_Phenotyping,,,Grain_weight(g),N_seeds,Average_weight,Adjusted_weight
GSOR 310879,6360,07-30-2021_EpsonV600_088,,,2.7601,100,0.027601,2.7601
GSOR 310883,Somewake,07-30-2021_EpsonV600_089,,,2.5346,100,0.025346,2.5346
GSOR 310887,Buphopa,07-30-2021_EpsonV600_090,,,2.4594,100,0.024594,2.4594
GSOR 310901,Juppa,07-30-2021_EpsonV600_091,,,1.5525,100,0.015525,1.5525
GSOR 310906,Ardito,07-30-2021_EpsonV600_092,,,3.1324,70,0.04474857143,4.474857143
GSOR 310910,Taino No. 38,07-30-2021_EpsonV600_093,,,2.4339,100,0.024339,2.4339
GSOR 310932,17-9-4,07-30-2021_EpsonV600_094,,,3.0177,99,0.03048181818,3.048181818
GSOR 310945,Dular,07-30-2021_EpsonV600_095,,,2.0769,100,0.020769,2.0769
GSOR 310950,IRRI-IRGC-10529,07-30-2021_EpsonV600_096,,,2.628,100,0.02628,2.628
GSOR 310958,IRRI-IRGC-10569,07-30-2021_EpsonV600_097,,,2.3582,100,0.023582,2.3582
GSOR 310965,Vary Tarva Osla,07-30-2021_EpsonV600_098,,,3.0713,81,0.03791728395,3.791728395
GSOR 310984,CSORNUJ,07-30-2021_EpsonV600_099,,,2.5018,100,0.025018,2.5018
GSOR 310990,R 67,07-30-2021_EpsonV600_100,,,2.8204,100,0.028204,2.8204
GSOR 310997,LUSITANO,07-30-2021_EpsonV600_101,,,3.0038,99,0.03034141414,3.034141414
GSOR 310998,WC 4443,07-30-2021_EpsonV600_102,,,2.9378,91,0.03228351648,3.228351648
GSOR 311016,IR 238,07-30-2021_EpsonV600_103,,,2.0302,100,0.020302,2.0302
GSOR 311046,WC 5562,07-30-2021_EpsonV600_104,,,1.5568,100,0.015568,1.5568
GSOR 311074,Mitak,07-30-2021_EpsonV600_105,,,2.939,100,0.02939,2.939
GSOR 311078,Gazan,07-30-2021_EpsonV600_106,,,1.9923,100,0.019923,1.9923
GSOR 311100,ARC 6578,07-30-2021_EpsonV600_107,,,1.6006,100,0.016006,1.6006
GSOR 311105,Hsin Hsing Pai Ku,07-30-2021_EpsonV600_108,,,2.2945,100,0.022945,2.2945
GSOR 311111,99216,07-30-2021_EpsonV600_109,,,1.5992,100,0.015992,1.5992
GSOR 311113,Shui Ya Jien,07-30-2021_EpsonV600_110,,,2.5273,100,0.025273,2.5273
GSOR 311117,Tranoeup Beykher,07-30-2021_EpsonV600_111,,,1.5589,100,0.015589,1.5589
GSOR 311123,10340,07-30-2021_EpsonV600_112,,,2.6448,100,0.026448,2.6448
GSOR 311140,AKP 4,07-30-2021_EpsonV600_113,,,2.4194,100,0.024194,2.4194
GSOR 311141,SORNAVARI,07-30-2021_EpsonV600_114,,,2.1588,100,0.021588,2.1588
GSOR 311151,TD 70,07-30-2021_EpsonV600_115,,,2.2619,100,0.022619,2.2619
GSOR 311153,IR 2061-214-2-3,07-30-2021_EpsonV600_116,,,2.5667,100,0.025667,2.5667
GSOR 311167,TAINUNG 45,07-30-2021_EpsonV600_117,,,2.4713,100,0.024713,2.4713
GSOR 311173,Manga 629,07-30-2021_EpsonV600_118,,,2.7591,100,0.027591,2.7591
GSOR 311180,Sapundali Local,07-30-2021_EpsonV600_119,,,2.1614,100,0.021614,2.1614
GSOR 311181,Tauli,07-30-2021_EpsonV600_120,,,2.0484,100,0.020484,2.0484
GSOR 311185,Bombon,07-30-2021_EpsonV600_121,,,3.0022,98,0.03063469388,3.063469388
GSOR 311188,Dara,07-30-2021_EpsonV600_122,,,2.0094,100,0.020094,2.0094
GSOR 311206,79,07-30-2021_EpsonV600_123,,,2.6303,100,0.026303,2.6303
GSOR 311236,B805D-MR-16-8-3,07-30-2021_EpsonV600_124,,,2.3424,100,0.023424,2.3424
GSOR 311249,TONO BREA 439,07-30-2021_EpsonV600_125,,,2.2926,100,0.022926,2.2926
